Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
China,3320392312069.32 ,3683895772379.01 ,4080839898586.26 ,4522776968547.28 ,5075031893949.34 ,5738575724796.05 ,6592895776896.02 ,7660752769348.59 ,8988029531096.95 ,10045321032098.20 ,11057234022822.00 ,12381936443545.50 ,13844365195917.50 ,15212933582532.80 ,16374803441524.10 ,17423231129699.60 ,18216461648412.00 ,19265339702246.80 ,20594682031575.00 ,22453857449614.60 ,24300741817604.10 ,25246667832981.60 ,28821648700423.30 ,31787545714560.80 ,34660138175163.80 
France,1464382542213.30 ,1583999694706.05 ,1678300037622.89 ,1752380317938.26 ,1744718780179.86 ,1813824938509.25 ,1922671524499.76 ,2063300819387.21 ,2180893232947.32 ,2256557852935.91 ,2243175421296.40 ,2335191628255.22 ,2450959100790.27 ,2473391243170.39 ,2612419376499.27 ,2666947056893.25 ,2722896108490.27 ,2861145268728.42 ,2975787193760.88 ,3114875305157.85 ,3445276604424.67 ,3345024904336.17 ,3562923665911.40 ,3823961003427.32 ,3982377923514.52 
Germany,2177128848707.55 ,2258167813956.64 ,2361564516458.66 ,2434539237038.42 ,2501219461829.45 ,2620503338140.74 ,2664895195600.89 ,2862479058024.02 ,3036889882250.07 ,3156602685759.77 ,3075795495173.40 ,3249037482302.09 ,3483801358877.91 ,3557185428697.00 ,3700747563191.81 ,3882203613560.02 ,3966574668375.51 ,4246712764148.12 ,4472591345398.62 ,4665360433368.49 ,4924980320308.75 ,4880368289108.07 ,5202314428956.10 ,5663892390556.98 ,5763465942185.66 
India,2082964298493.36 ,2211966282616.70 ,2370880066256.35 ,2499312620412.45 ,2748991073183.11 ,3046571526399.16 ,3391057140605.85 ,3777405337963.82 ,4176965103146.49 ,4388857508295.53 ,4763102417316.55 ,5230655285591.35 ,5618380734786.90 ,6162754462198.70 ,6497743441802.88 ,6812807109169.83 ,7204580698460.80 ,7795524017465.34 ,8354710136357.47 ,9230789424534.98 ,9932850520576.54 ,9771021183358.88 ,11384367630967.90 ,13048154231864.30 ,14619765554295.40 
Israel,143122502989.61 ,161809149904.48 ,165742190498.30 ,171106909511.60 ,164972947325.01 ,177329284640.42 ,177607392323.30 ,185766925777.53 ,202278507898.44 ,204628967173.97 ,209388506322.15 ,223841336440.21 ,242552946273.33 ,256308256800.02 ,279897511854.20 ,285198248040.10 ,299845903697.23 ,325369041821.44 ,342746420825.28 ,355909133545.28 ,373229738078.17 ,378289277687.22 ,432476810609.18 ,511764068442.61 ,527412998477.07 
Japan,3258971755243.63 ,3461199212871.49 ,3552841434344.91 ,3647933229747.30 ,3753919256711.54 ,3938955753801.61 ,4110440479265.64 ,4300322202225.70 ,4482081297524.20 ,4517267516318.56 ,4295629000666.77 ,4525401285474.55 ,4629400479632.82 ,4799612889015.10 ,5021591088716.88 ,5034454618847.27 ,5200905340128.50 ,5158900389806.61 ,5262254961496.86 ,5344060957173.08 ,5404462313923.95 ,5358320688497.43 ,5569642382128.50 ,5921982875589.37 ,6200174078947.15 
Russia,870676186417.13 ,1000581025238.43 ,1074585972513.87 ,1167897269467.94 ,1338656016289.80 ,1473342751130.22 ,1696729209914.69 ,2133189651004.95 ,2377454045310.01 ,2878201315078.60 ,2768599517953.77 ,2927003701123.47 ,3259319197327.18 ,3480299219245.86 ,3741783381914.27 ,3763534951277.15 ,3526235948513.73 ,3538975998887.58 ,3807101264909.25 ,4231842328030.95 ,4579553861372.40 ,4651428694918.23 ,5732443748434.11 ,6014033402966.99 ,6454737767947.11 
UAE,281417144054.30 ,319024983529.33 ,330772370343.39 ,344086842269.95 ,381759554548.38 ,429528265224.05 ,464504006621.68 ,525932447594.23 ,557382797842.70 ,586255468626.97 ,558944883549.03 ,574805592735.81 ,623132238940.30 ,645566759648.50 ,657868026080.28 ,687052388196.08 ,609998221072.95 ,604925118660.81 ,627578031207.68 ,701667873645.86 ,726238678123.86 ,614384479785.39 ,645375981370.26 ,743309077890.84 ,797922323235.95 
USA,9631172000000.00 ,10250952000000.00 ,10581929000000.00 ,10929108000000.00 ,11456450000000.00 ,12217196000000.00 ,13039197000000.00 ,13815583000000.00 ,14474228000000.00 ,14769862000000.00 ,14478067000000.00 ,15048971000000.00 ,15599732000000.00 ,16253970000000.00 ,16880683000000.00 ,17608138000000.00 ,18295019000000.00 ,18804912999999.90 ,19612102000000.10 ,20656515999999.90 ,21539982000000.10 ,21354105000000.00 ,23681171000000.00 ,26006893000000.00 ,27720708999999.90 
UK,1437339061115.79 ,1562409690541.96 ,1650357031262.37 ,1727031050462.62 ,1808366865946.19 ,1922940594923.09 ,1976697912294.61 ,2113503098384.48 ,2178376960471.15 ,2271085135764.89 ,2181122499274.74 ,2290198529537.39 ,2354769903633.16 ,2442462879506.98 ,2562195072837.32 ,2666661894153.29 ,2767977872942.74 ,2892297884267.12 ,3041891554350.64 ,3129649825363.44 ,3335878386954.67 ,3219066303872.09 ,3416480549650.62 ,3957840318954.77 ,3979687714893.52 
